ADATE,Year,Month,Day,Anamolytype,Anamoly,Kp,ap,Date
1963-12-12,1963,12,12,NA,0,0.75,3.5,1963-12-12
1963-12-13,1963,12,13,NA,0,1.666625,7.5,1963-12-13
1963-12-14,1963,12,14,NA,0,2.291625,11.25,1963-12-14
1963-12-15,1963,12,15,NA,0,1.916625,7.125,1963-12-15
1963-12-16,1963,12,16,NA,0,1.625125,6.625,1963-12-16
1963-12-17,1963,12,17,NA,0,0.8748750000000001,3.5,1963-12-17
1963-12-18,1963,12,18,NA,0,0.41675,1.875,1963-12-18
1963-12-19,1963,12,19,NA,0,0.91675,4.5,1963-12-19
1963-12-20,1963,12,20,NA,0,3.416625,20.25,1963-12-20
1963-12-21,1963,12,21,NA,0,2.25,10.875,1963-12-21
1963-12-22,1963,12,22,NA,0,2.66675,12.625,1963-12-22
1963-12-23,1963,12,23,NA,0,2.49975,13.25,1963-12-23
1963-12-24,1963,12,24,NA,0,2.083375,9.75,1963-12-24
1963-12-25,1963,12,25,NA,0,0.625,2.875,1963-12-25
1963-12-26,1963,12,26,NA,0,0.9585,3.875,1963-12-26
1963-12-27,1963,12,27,NA,0,1.08325,4.375,1963-12-27
1963-12-28,1963,12,28,NA,0,2.333375,11.0,1963-12-28
1963-12-29,1963,12,29,NA,0,3.0,15.875,1963-12-29
1963-12-30,1963,12,30,NA,0,1.375,5.25,1963-12-30
1963-12-31,1963,12,31,NA,0,0.625,2.75,1963-12-31
1964-01-01,1964,1,1,NA,0,1.54175,5.75,1964-01-01
1964-01-02,1964,1,2,NA,0,4.666625,53.375,1964-01-02
1964-01-03,1964,1,3,NA,0,3.541625,21.375,1964-01-03
1964-01-04,1964,1,4,NA,0,3.2915,19.0,1964-01-04
1964-01-05,1964,1,5,NA,0,1.958125,7.625,1964-01-05
1964-01-06,1964,1,6,NA,0,1.416625,5.375,1964-01-06
1964-01-07,1964,1,7,NA,0,1.625,6.75,1964-01-07
1964-01-08,1964,1,8,NA,0,1.4166249999999998,6.0,1964-01-08
1964-01-09,1964,1,9,NA,0,3.291875,19.5,1964-01-09
1964-01-10,1964,1,10,NA,0,3.3335,21.25,1964-01-10
1964-01-11,1964,1,11,NA,0,2.0835,8.125,1964-01-11
1964-01-12,1964,1,12,NA,0,1.33325,5.5,1964-01-12
1964-01-13,1964,1,13,NA,0,1.333375,5.5,1964-01-13
1964-01-14,1964,1,14,NA,0,0.249875,1.375,1964-01-14
1964-01-15,1964,1,15,NA,0,0.333375,1.5,1964-01-15
1964-01-16,1964,1,16,NA,0,3.791625,26.625,1964-01-16
1964-01-17,1964,1,17,NA,0,2.91675,16.875,1964-01-17
1964-01-18,1964,1,18,NA,0,1.75,7.125,1964-01-18
1964-01-19,1964,1,19,NA,0,1.499875,6.875,1964-01-19
1964-01-20,1964,1,20,NA,0,1.54175,6.25,1964-01-20
1964-01-21,1964,1,21,NA,0,0.4165,1.875,1964-01-21
1964-01-22,1964,1,22,NA,0,0.95825,3.875,1964-01-22
1964-01-23,1964,1,23,NA,0,0.95825,3.875,1964-01-23
1964-01-24,1964,1,24,NA,0,2.5,11.125,1964-01-24
1964-01-25,1964,1,25,NA,0,2.541625,16.25,1964-01-25
1964-01-26,1964,1,26,NA,0,1.625,6.875,1964-01-26
1964-01-27,1964,1,27,NA,0,0.916625,3.75,1964-01-27
1964-01-28,1964,1,28,NA,0,2.12475,9.375,1964-01-28
1964-01-29,1964,1,29,NA,0,3.500125,20.875,1964-01-29
1964-01-30,1964,1,30,NA,0,2.33325,10.0,1964-01-30
1964-01-31,1964,1,31,NA,0,3.291625,26.375,1964-01-31
1964-02-01,1964,2,1,NA,0,2.250125,10.0,1964-02-01
1964-02-02,1964,2,2,NA,0,1.79175,7.875,1964-02-02
1964-02-03,1964,2,3,NA,0,0.5415,2.5,1964-02-03
1964-02-04,1964,2,4,NA,0,2.416625,12.25,1964-02-04
1964-02-05,1964,2,5,NA,0,2.083375,11.0,1964-02-05
1964-02-06,1964,2,6,NA,0,4.08325,30.875,1964-02-06
1964-02-07,1964,2,7,NA,0,2.9585,15.375,1964-02-07
1964-02-08,1964,2,8,NA,0,2.875,19.625,1964-02-08
1964-02-09,1964,2,9,NA,0,2.91675,14.625,1964-02-09
1964-02-10,1964,2,10,NA,0,1.875,7.125,1964-02-10
1964-02-11,1964,2,11,NA,0,0.75,3.25,1964-02-11
1964-02-12,1964,2,12,NA,0,2.7915,14.25,1964-02-12
1964-02-13,1964,2,13,NA,0,4.125125,31.625,1964-02-13
1964-02-14,1964,2,14,NA,0,2.291625,9.75,1964-02-14
1964-02-15,1964,2,15,NA,0,1.750125,7.0,1964-02-15
1964-02-16,1964,2,16,NA,0,1.29175,4.875,1964-02-16
1964-02-17,1964,2,17,NA,0,1.625125,6.375,1964-02-17
1964-02-18,1964,2,18,NA,0,1.20825,4.75,1964-02-18
1964-02-19,1964,2,19,NA,0,0.375,1.75,1964-02-19
1964-02-20,1964,2,20,NA,0,2.625,18.375,1964-02-20
1964-02-21,1964,2,21,NA,0,2.79175,15.25,1964-02-21
1964-02-22,1964,2,22,NA,0,1.708375,6.75,1964-02-22
1964-02-23,1964,2,23,NA,0,1.66675,7.5,1964-02-23
1964-02-24,1964,2,24,NA,0,1.70825,6.875,1964-02-24
1964-02-25,1964,2,25,NA,0,2.875,19.0,1964-02-25
1964-02-26,1964,2,26,NA,0,3.0,18.125,1964-02-26
1964-02-27,1964,2,27,NA,0,2.750125,15.25,1964-02-27
1964-02-28,1964,2,28,NA,0,3.083375,17.375,1964-02-28
1964-02-29,1964,2,29,NA,0,2.04175,8.5,1964-02-29
1964-03-01,1964,3,1,NA,0,1.000125,4.0,1964-03-01
1964-03-02,1964,3,2,NA,0,0.208375,1.0,1964-03-02
1964-03-03,1964,3,3,NA,0,1.625,7.125,1964-03-03
1964-03-04,1964,3,4,NA,0,5.125125,52.0,1964-03-04
1964-03-05,1964,3,5,NA,0,4.2085,32.875,1964-03-05
1964-03-06,1964,3,6,NA,0,3.125,17.375,1964-03-06
1964-03-07,1964,3,7,NA,0,2.6248750000000003,12.0,1964-03-07
1964-03-08,1964,3,8,NA,0,3.208375,17.625,1964-03-08
1964-03-09,1964,3,9,NA,0,1.75,9.25,1964-03-09
1964-03-10,1964,3,10,NA,0,1.041625,4.125,1964-03-10
1964-03-11,1964,3,11,NA,0,1.833375,7.75,1964-03-11
1964-03-12,1964,3,12,NA,0,2.875125,16.125,1964-03-12
